"Study","Site","Version","ES.Metric","Value","N","Reverse","Label","yi.f","vi.f"
"Albarracin S5","Wesleyan","Revised","r",0.15,95,"no","Albarracin S5 Revised",0.15,0.010164960106383
"Forster","University of Presov","Revised","rp",0.2,100,"no","Forster Revised",0.2,0.00930909090909091
"Forster","Nova Southeastern University","Revised","rp",0.14,81,"no","Forster Revised",0.14,0.012014802
"Forster","Kozminski University","Revised","rp",0.03,95,"no","Forster Revised",0.03,0.0106191575531915
"Forster","University of Kassel","Revised","rp",0.09,120,"no","Forster Revised",0.09,0.00826777823529412
"Forster","Hofstra University","Revised","rp",0.22,47,"no","Forster Revised",0.22,0.019685707826087
"Forster","Universidade de Fortaleza","Revised","rp",0.06,97,"no","Forster Revised",0.06,0.0103418016666667
"Forster","Fort Lewis College","Revised","rp",0.11,111,"no","Forster Revised",0.11,0.00887224009090909
"Forster","Otto Friedrich Universitaet Bamberg","Revised","rp",0.15,69,"no","Forster Revised",0.15,0.0140515625
"LoBue","University of Belgrade","Revised","r",0.0803,56,"no","LoBue Revised",0.0803,0.0179480981429936
"LoBue","University of Nis","Revised","r",6.45e-08,80,"no","LoBue Revised",6.45e-08,0.0126582278481012
"LoBue","Layola Marymount University","Revised","r",0.0158,57,"no","LoBue Revised",0.0158,0.0178482282557166
"LoBue","University of Novi Sad","Revised","r",0.0608,66,"no","LoBue Revised",0.0608,0.0152710828484198
"Payne","Pacific Lutheran University","Revised","r",-0.268,146,"no","Payne Revised",-0.268,0.00594145301362759
"Payne","University of Central Florida","Revised","r",-0.363,106,"no","Payne Revised",-0.363,0.00717928637486667
"Payne","University of Virginia","Revised","r",0.063,160,"no","Payne Revised",0.063,0.00623948272302516
"Payne","Virginia Commonwealth University","Revised","r",-0.076,146,"no","Payne Revised",-0.076,0.0068171128425931
"Albarracin S7","Brigham Young University","RP:P","eta sq",-0.365123321632568,51,"yes","Albarracin S7 RP:P",-0.365123321632568,0.015022856397804
"Albarracin S7","Southern Illinois University","RP:P","eta sq",-0.108994697118713,57,"yes","Albarracin S7 RP:P",-0.108994697118713,0.0174353829052404
"Albarracin S7","University of Texas at Dallas","RP:P","eta sq",-0.0422300011839924,174,"yes","Albarracin S7 RP:P",-0.0422300011839924,0.00575974817583386
"Shnabel","Texas A&M","RP:P","pseudo R2",-0.0829374342501623,186,"yes","Shnabel RP:P",-0.0829374342501623,0.00533129772640859
"Shnabel","St. Josephs","RP:P","pseudo R2",-0.011943408223786,279,"yes","Shnabel RP:P",-0.011943408223786,0.00359609615232948
"Albarracin S7","Ashland University","Revised","eta sq",-0.182188726325204,46,"yes","Albarracin S7 Revised",-0.182188726325204,0.0207714731879472
"Albarracin S7","Grand Valley State University","Revised","eta sq",-0.157388500215232,167,"yes","Albarracin S7 Revised",-0.157388500215232,0.00572934535769217
"Albarracin S7","Michigan State University","Revised","eta sq",-0.0704645158927527,328,"yes","Albarracin S7 Revised",-0.0704645158927527,0.0030278108797789
"Albarracin S7","University of Texas at Dallas","Revised","eta sq",-0.100321682601519,165,"yes","Albarracin S7 Revised",-0.100321682601519,0.00597544154239338
